Blacks-wins,412,230
Whites-wins,473,554
Blacks-wins,393,248
Whites-wins,212,473
Blacks-wins,239,114
Blacks-wins,272,140
Blacks-wins,413,299
Blacks-wins,331,322
Blacks-wins,312,252
Whites-wins,112,209
Whites-wins,107,244
Whites-wins,195,263
Blacks-wins,932,379
Whites-wins,72,282
Blacks-wins,360,145
Whites-wins,366,519
Blacks-wins,365,64
Whites-wins,170,248
Blacks-wins,280,243
Whites-wins,79,251
Whites-wins,213,286
Whites-wins,311,339
Whites-wins,211,307
Whites-wins,105,264
Blacks-wins,385,236
Blacks-wins,249,167
Whites-wins,225,296
Blacks-wins,265,247
Whites-wins,172,277
Blacks-wins,388,310
Blacks-wins,443,156
Whites-wins,259,375
Whites-wins,262,345
Whites-wins,216,307
Blacks-wins,489,139
Blacks-wins,686,136
Blacks-wins,351,70
Blacks-wins,579,194
Whites-wins,107,325
Blacks-wins,221,155
Blacks-wins,531,244
Whites-wins,224,236
Blacks-wins,402,247
Blacks-wins,486,434
Whites-wins,313,422
Whites-wins,216,235
Blacks-wins,264,97
Blacks-wins,303,172
Whites-wins,193,381
Whites-wins,64,210
Blacks-wins,186,135
Whites-wins,315,334
Whites-wins,148,470
Blacks-wins,247,149
Blacks-wins,561,484
Whites-wins,143,272
Blacks-wins,281,216
Blacks-wins,379,205
Blacks-wins,440,170
Whites-wins,164,316
Blacks-wins,618,497
Whites-wins,154,281
Whites-wins,231,355
Whites-wins,89,249
Whites-wins,180,240
Whites-wins,227,390
Whites-wins,236,350
Whites-wins,139,211
Blacks-wins,367,260
Blacks-wins,416,238
Blacks-wins,354,199
Whites-wins,79,222
Blacks-wins,310,301
Blacks-wins,253,138
Whites-wins,234,314
Blacks-wins,186,169
Whites-wins,200,287
Blacks-wins,493,290
Whites-wins,230,279
Whites-wins,293,419
Tie-wins,237,237
Whites-wins,282,358
Blacks-wins,199,197
Whites-wins,162,294
Whites-wins,236,329
Blacks-wins,537,135
Blacks-wins,275,138
Whites-wins,272,309
Blacks-wins,228,138
Whites-wins,111,386
Blacks-wins,419,345
Whites-wins,235,297
Blacks-wins,497,296
Whites-wins,229,315
Blacks-wins,370,234
Blacks-wins,304,236
Whites-wins,124,182
Whites-wins,149,321
Whites-wins,77,314
Whites-wins,240,261
Blacks-wins,302,247
Blacks-wins,349,246
Whites-wins,251,498
Whites-wins,163,255
Whites-wins,148,226
Blacks-wins,214,128
Whites-wins,176,204
Whites-wins,133,331
Whites-wins,183,292
Whites-wins,210,214
Blacks-wins,393,194
Whites-wins,136,310
Blacks-wins,450,213
Whites-wins,291,571
Whites-wins,279,313
Blacks-wins,320,152
Whites-wins,202,238
Blacks-wins,182,156
Blacks-wins,195,186
Blacks-wins,308,243
Whites-wins,122,293
Whites-wins,272,472
Blacks-wins,359,357
Blacks-wins,382,206
Whites-wins,212,281
Whites-wins,223,403
Whites-wins,141,388
Whites-wins,81,258
