Whites-wins,967,1320
Whites-wins,324,640
Whites-wins,483,594
Whites-wins,989,1469
Whites-wins,569,767
Whites-wins,905,1115
Whites-wins,796,1042
Whites-wins,676,735
Blacks-wins,1272,771
Whites-wins,906,933
Blacks-wins,1062,319
Blacks-wins,802,608
Whites-wins,437,548
Whites-wins,725,771
Whites-wins,536,829
Blacks-wins,1715,1633
Whites-wins,388,710
Blacks-wins,1147,412
Whites-wins,642,819
Blacks-wins,846,637
Blacks-wins,1618,1129
Blacks-wins,679,447
Whites-wins,706,715
Whites-wins,494,752
Whites-wins,922,1101
Whites-wins,512,1240
Blacks-wins,1035,870
Whites-wins,621,1134
Blacks-wins,834,605
Whites-wins,1130,1522
Whites-wins,1072,1114
Whites-wins,448,768
Whites-wins,624,793
Blacks-wins,584,435
Whites-wins,978,985
Blacks-wins,1465,706
Whites-wins,522,574
Whites-wins,627,1161
Whites-wins,510,1037
Blacks-wins,1223,467
Whites-wins,557,1328
Blacks-wins,781,680
Blacks-wins,1738,474
Whites-wins,846,1387
Whites-wins,698,904
Blacks-wins,906,666
Whites-wins,841,1247
Whites-wins,472,994
Blacks-wins,902,632
Blacks-wins,1063,545
Blacks-wins,1392,1236
Blacks-wins,1457,885
Whites-wins,817,899
Whites-wins,496,781
Blacks-wins,942,818
Blacks-wins,731,448
Whites-wins,397,515
Blacks-wins,666,660
Whites-wins,676,792
Blacks-wins,908,586
Whites-wins,567,783
Whites-wins,548,1147
Whites-wins,567,1166
Blacks-wins,1314,1311
Blacks-wins,1070,463
Blacks-wins,805,766
Blacks-wins,1222,555
Whites-wins,536,759
Whites-wins,389,660
Whites-wins,1038,1290
Whites-wins,785,1209
Whites-wins,1174,1490
Blacks-wins,834,706
Whites-wins,785,1028
Whites-wins,675,711
Blacks-wins,1057,1030
Blacks-wins,1407,956
Whites-wins,395,1158
Whites-wins,988,1220
Whites-wins,614,1028
Whites-wins,603,982
Whites-wins,1419,1588
Blacks-wins,1072,427
Whites-wins,479,665
Whites-wins,347,1243
Whites-wins,941,1153
Blacks-wins,1485,1109
Blacks-wins,1621,686
Blacks-wins,1107,800
Blacks-wins,1128,869
Whites-wins,613,794
Whites-wins,534,764
Whites-wins,617,844
Blacks-wins,1316,658
Whites-wins,1001,1428
Blacks-wins,1001,982
Blacks-wins,769,711
Blacks-wins,973,899
Blacks-wins,561,325
Blacks-wins,1586,901
Blacks-wins,991,700
Whites-wins,592,1564
Whites-wins,882,1112
Whites-wins,578,1169
Whites-wins,909,1696
Blacks-wins,796,626
Whites-wins,589,1096
Blacks-wins,1467,906
Blacks-wins,783,625
Blacks-wins,759,745
Blacks-wins,879,506
Whites-wins,866,906
Blacks-wins,887,434
Whites-wins,939,1186
Whites-wins,752,1234
Blacks-wins,495,456
Blacks-wins,1356,579
Whites-wins,573,2041
Blacks-wins,1330,773
Blacks-wins,868,680
Whites-wins,927,974
Blacks-wins,830,475
Whites-wins,494,768
Blacks-wins,742,353
Whites-wins,542,703
Blacks-wins,1235,839
Blacks-wins,989,784
Whites-wins,827,969
Blacks-wins,1118,687
Whites-wins,557,762
Blacks-wins,772,515
Whites-wins,597,1098
Whites-wins,914,1296
Whites-wins,922,982
Blacks-wins,801,683
Blacks-wins,1408,486
Blacks-wins,906,547
Blacks-wins,855,657
Whites-wins,728,793
Whites-wins,747,801
Blacks-wins,553,333
Whites-wins,581,1583
Whites-wins,681,875
Blacks-wins,1092,699
Whites-wins,447,732
Whites-wins,735,788
Blacks-wins,1850,681
Blacks-wins,728,590
Blacks-wins,962,939
Blacks-wins,872,683
Blacks-wins,675,308
Whites-wins,469,1046
Blacks-wins,809,780
Blacks-wins,1426,814
Whites-wins,399,879
Whites-wins,964,1780
Blacks-wins,827,721
Whites-wins,618,664
Blacks-wins,1008,746
Whites-wins,716,1151
Blacks-wins,558,529
Whites-wins,593,963
Whites-wins,643,796
Blacks-wins,1366,908
Whites-wins,561,956
Blacks-wins,537,535
Whites-wins,958,1447
Whites-wins,464,1327
Whites-wins,1302,1383
Blacks-wins,1564,685
Blacks-wins,1515,717
Whites-wins,825,882
Whites-wins,428,1198
Whites-wins,549,574
Whites-wins,729,1130
Blacks-wins,538,481
Blacks-wins,1344,897
Whites-wins,555,571
Blacks-wins,760,679
Whites-wins,753,1163
Blacks-wins,973,613
Blacks-wins,764,557
Blacks-wins,703,638
Blacks-wins,1265,367
Whites-wins,404,459
Whites-wins,1086,1721
